Index,Blog_name,Blog Details,Blog Author,Related_images
1,Wellness,"<p>Wellness can be described and defined in many ways. Merriam-Webster refers to wellness as “the state of being in good health, especially as an actively pursued goal.” The Global Wellness Institute defines wellness as “the active pursuit of activities, choices, and lifestyles that lead to a state of holistic health” (Global Wellness Institute, 2022), while the National Wellness Institute considers wellness to be “an active process through which people become aware of, and make choices toward, a more successful existence” (National Wellness Institute, 2022).</p>
<p>The verbiage used to define what wellness is as a concept or state of being may differ between sources and organizations, but there are common threads tying each definition together: a process, the active pursuit and lifestyle choices.  </p>
<p>The Many Dimensions of Wellness-Wellness is a concept that means something different to everyone. It is fluid and requires a continuous commitment and renewal of that commitment. Wellness is not only described differently by various sources, but the dimensions which make up one’s personal picture of wellness are also diverse.Dr. Bill Hettler, cofounder of the National Wellness Institute, first described wellness as a six-sided model in 1976. The dimensions originally included were emotional, occupational, physical, social, intellectual and spiritual (NWI). You can find a full description of each of these six dimensions here. Though other models exist and include additional dimensions (financial and environmental, for example), there is common ground between all: to be well or achieve optional wellness requires a balance or harmony between multiple facets of human existence that transcend the physical body (or health).Every wellness model appears to acknowledge (and respect) the interconnectedness of each component, regardless of how those components are labeled or defined. For example, when one area suffers, all remaining dimensions are negatively impacted. The reverse is true as well. When one area is fulfilled, all other components benefit. Wellness is a holistic state or pursuit that considers the complexity of human nature and needs.</p>
<p>Paint Your Picture of Wellness-Fortunately, wellness, like art, is subjective; wellness is a picture we can paint for ourselves with respect to our individual lives and the areas we deem valuable and consider priorities. Further, how we imagine wellness on an individual level varies from how our family members, friends and colleagues see their respective pictures of wellness.
So, where do you begin? How do you prepare to paint your personal picture of wellness? First, identify what it is you already have that relates to the dimensions that are important to you. Then, evaluate how “colorful” or fulfilled each area is. Finally, define what elements you need to complete your picture. For example, what “colors” are missing? What actions will you take to add those missing colors or pieces?</p>
<p>Before painting your masterpiece, begin by reflecting on and addressing these five prompts:
When I think about wellness, what images, symbols, or words come to mind? For example, when I think about wellness, the infinity symbol comes to mind. I view wellness as a process that we commit to at the beginning of every day. By asking yourself this question, your most valued dimensions may emerge based on the words and images that enter your mind.
When I think about my life in terms of work, home and personal, how balanced do I feel? What barriers affect me in achieving my desired level of balance?
When I think about joy, what things, activities, people or places bring me joy?
What occupies my headspace daily? Here you may identify what detracts from your joy.
When I think about myself as a whole person—mind, body, spirit—what area appears lacking? Why?</p>", Dr. Erin Nitschke,Blogs/1.jpg
2,Self Care at Home,"<p>In recent years, it seems as though we’ve finally begun to understand the importance of self-care and taking time out to look after ourselves. With burnout on the rise, this is more important than ever — you may talk about self care, but do you prioritise your mental and physical health as much as you should? If the answer is no, this guide is the motivator you need to take some time for you, with eight uncomplicated ways to relax, unwind and engage in self care at home.</p><p>Do A Home Workout-An obvious but essential starting point for self care is making sure you get some exercise in. There are countless home workouts you can do from your living room, many of which are free to access. Try a YouTube sweat session or Instagram live with your favourite fitness coach to make your workout more fun and engaging. The key is to find something you enjoy, whether it’s yoga, dance, boxing or barre. Even 10-15 minutes of exercise will get your endorphins flowing and boost your mood.</p>
<p>Reconnect With Nature-Have you taken the time to get outside lately? A simple dose of fresh air and sunlight will do you the world of good, whether it’s a walk around the block or a trip to your favourite park. Spending time in nature can improve your mood, reduce feelings of stress and help you feel more relaxed.</p><p>Have A Bubble Bath-If you’re the type of person who loves a bath, carving some time out of your day to enjoy this simple activity can help you relax and have a positive effect on your mental health. Use your favourite bubble bath, light a candle and switch off for a while as you soak in the hot water.</p><p>Start A New Hobby-Starting a new hobby gives you some time each week to focus on an activity you enjoy, helping you remain present so that stressful thoughts can leave the mind. Hobbies also give you a creative outlet, keep the brain active and help you build new skills. Whether you take up baking, learn to paint or make your own skincare at home, a new hobby will give you the time to wind down and calm your mind.</p><p>Cook A Nourishing Meal-Good nutrition is a key component of self care at home, and your body and mind will thank you for eating nourishing meals. The act of cooking something nutritious for yourself is rewarding — try to slow down and enjoy the process of cooking, really thinking about what you’re putting into your food and your body.</p><p>Try Meditation-You might be unsure whether meditation is for you, but why not give it a try? Meditation is an excellent way to clear your head and help yourself feel calmer, even if you don’t have loads of free time to dedicate to it. To get started, try setting a timer for two minutes, sit comfortably and close your eyes. Focus on deep breathing, let your thoughts come and go and see how you feel at the end of your session. If you enjoyed the process, try again for a little longer next time — you could even incorporate some relaxing music to get you in the right headspace.</p><p>Stay Hydrated-It might sound boring, but drinking two litres of water a day is great for your mind and body. Do yourself a favour and commit to this simple self care task every day.</p><p>Read A Book-Reading a book (or listening to an audiobook) is an excellent way to enjoy some “me” time. Give your brain some time to relax and focus on something else, and you’ll be amazed at how refreshed you can feel afterwards. If your “to-read” pile only ever seems to get bigger, this is the ideal self care activity for you.</p>",BY LOUISE SMITHSON,Blogs/2.jpg
3,Physical Inactivity & Covid-19 Severity,"<p>The Centers for Disease Control and Prevention (CDC) recently released updated information about people who are at increased risk of becoming very sick from COVID-19 due to having one or more health conditions. Included on that list of health conditions—alongside things like cancer, chronic obstructive pulmonary disease (COPD), type 1 and type 2 diabetes and heart disease—is physical inactivity.
According to the CDC, “People who do little or no physical activity, or exercise, are more likely to get very sick from COVID-19 than those who are physically active.”</p><p>Physical inactivity often contributes to weight gain and increased fat mass, which can lead to several other conditions on the CDC’s list, including overweight, obesity and type 2 diabetes. The underlying fact is that being physically active contributes significantly to overall health and well-being.</p><p>Physical activity is important for-Reducing the risk of chronic conditions: These include type 2 diabetes, heart disease and certain types of cancer.Improving mental health and cognitive function: In addition to improving mood and reducing feelings of anxiety, physical activity can reduce the risk of depression and of developing dementia.Sleep quality: Insufficient sleep has been linked to the development of many of the chronic diseases and conditions on the above-referenced list.Immune function: This is an area of emerging research, but evidence suggests physical activity may also boost immune function.</p><p>After reviewing research of COVID-19 severity, the CDC found evidence of increased risk of several COVID-19 outcomes among people who were inactive, including hospitalization, ventilation and death, so we can now add “reducing the risk of severe COVID-19” to the seemingly endless list of reasons to live an active lifestyle.</p>",Cedric X. Bryant,Blogs/3.jpeg
4,Healthy Postpatrum Immune System,"<p>From the moment you find out you’re pregnant, you do everything in your power to keep your baby healthy, which includes keeping yourself in good condition. You form some healthier habits and kick out some bad ones. You take good care of your body, as that was necessary for the wellbeing of your child. However, you should know that, once you give birth, it’s easy to start neglecting yourself and concentrating solely on your little cherub. It’s essential that you don’t let this happen, since your body is still sensitive and in distress from giving birth, and you should do whatever you can to allow it to recover and heal properly. The ideal place to start is your immune system, so that you can stay in optimum shape for yourself and your baby and avoid getting ill. Here are some ways to improve your postpartum immune response.</p><p>Tend To Your Mental Health-Once you bring a baby into this world, you’ll probably experience an overwhelming mixture of emotions, ranging from euphoria to melancholy and despair. You’ll go through hormonal changes and you’ll often feel stressed. This is something you need to address, since your stress can affect your immune system and weaken it. It would be beneficial if you could focus on something that calms you down and makes you happy. For many mothers, this is their new baby, which makes it perfectly fine to watch them sleep, hug them and touch them whenever the opportunity arises. On the other hand, there are women who will benefit from talking to other adults, such as their partner, siblings or friends. In case you need this kind of contact, reach out to those you love and tell them what’s bothering you. Social isolation in the postpartum period can cause desolation, which is why you should stay in touch with people, at least through phone calls or text messages, but eye-to-eye contact is always the best option. Perhaps you’ll relax after taking a shower, being that it doesn’t only come down to personal hygiene, but also allows you to spend some time alone. If none of these ideas work for you and you don’t think you can handle the anxiety, talk to your MD or a mental-health professional and ask for their opinion.</p><p>Eat Well-The food you choose to eat after you’ve given birth matters greatly, as it directly influences your health, but also your baby’s, especially if you’re breastfeeding. In order to keep your postpartum immune system in order, you’ll need to supply your body with several different nutrients through food or supplementation. For instance, you’ll need plenty of iron, which you can get from red meat or green leafy vegetables. Next, you’ll need vitamin B12 and you’ll find it in tuna, liver, cereals or fortified dairy, but you’ll also want to increase your vitamin D levels, since this is vital to your immune system. As far as food goes, some good sources of vitamin D are orange juice, egg yolks and fatty fish, such as salmon and tuna. Make sure you eat fresh fruit and vegetables, and if you need snacks, don’t settle for anything less than highly nutritious healthy products. Some excellent examples are shiitake mushroom and various veggie chips, as well as beetroot slices or dried mango. If you don’t have the time to go shopping for this type of food, don’t hesitate to order it online and have it delivered to your front door. Purchasing these kinds of snacks instead of the regular salted and unhealthy ones can improve your immune response and be your ally in keeping yourself and your newborn healthy.</p><p>Get Out And Walk-Taking care of a baby will take a lot of your time and energy. It’s likely you’ll feel extremely tired from time to time. Nevertheless, you need to remember that fresh air and physical exercise are crucial to your postpartum immune system and your overall well-being. Taking walks will cover both, without you overexerting yourself in the process. Walking is a light exercise, one that promotes better circulation and clears your mind, ridding you of at least one part of the stress you’re feeling. Another issue that many mothers face after giving birth is the amount of time they spend indoors. While it’s true that you have to adjust to your parenting role and get back on your feet, stepping outside regularly can only do your immune system good, so find the time and the will to take a stroll in the nearby park or around the neighborhood. These walks don’t have to be long. Half an hour a day will do the trick, and it’s something that most women can manage. If you can leave your baby with your somebody, that’s fine, but if not, you can always put them in their stroller and take them with you.</p>




",Brett Kli,Blogs/4.jpg
5,Fibre - Essential for Daily Intake,"<p>The early onset of diabetes during childhood, particularly type 2 diabetes, is becoming a growing healthcare concern in the United States. Currently, nearly 100 million Americans are estimated to have diabetes or are believed to be at extreme risk for developing diabetes (prediabetes). Additionally, an estimated 132,000 of these cases have been diagnosed in children and adolescents younger than 18 (Centers for Disease Control and Prevention, 2017).
Historically, when children were diagnosed with diabetes, it was most often insulin-dependent type 1 diabetes, which is caused by an autoimmune disease that shuts down the body’s ability to make insulin. By contrast, type 2 diabetes has traditionally been termed “adult-onset” because its prevalence is highly impacted by diet, activity levels and lifestyle-related factors.</p><p>Currently, type 2 diabetes is growing at a rate of roughly 5,000 new cases per year in youth and adolescents (Lawrence et al., 2014), and the diagnosis of type 2 diabetes in this population has increased more than 30% in the last 10 years (Dabelea et al., 2014).It appears that the increasing rates of type 2 diabetes in children could be yet another health concern stemming from the broader childhood obesity epidemic. Physical inactivity, poor diet and excess body fat have been identified as risk factors for type 2 diabetes in both adults and children (Copeland, 2011). Children who are in the 85th percentile or higher for BMI are more than four times more likely to develop type 2 diabetes (Abbasi et al., 2017). Currently, this represents roughly one in three children (Ogden et al., 2014).</p><p>The Mechanisms Behind Type 2 Diabetes-One of the primary mechanisms behind type 2 diabetes appears to be a decrease in insulin sensitivity (Hannon and Arslanian, 2015). When tissues and cells lose sensitivity to insulin, the result is damage to the metabolic infrastructure that helps regulate blood sugar levels. When elevated blood sugar becomes chronic, it creates a variety of acute and longitudinal medical complications. The risk factors listed in the paragraph above significantly contribute to a reduction in insulin sensitivity (Copeland et al., 2011).Medical complications stemming from type 2 diabetes include microalbuminuria, hypertension, kidney disease, dyslipidemia, and neuropathy. Advanced levels of these complications generally appear about 10 years from diagnosis (Hannon, Arslanian, 2015). This could significantly increase risks for morbidity and mortality during the most productive years of life when kids grow up to join the workforce and have families. It also prolongs the physical and financial toll brought on by the disease. </p><p>How to Reduce a Child’s Risk of Developing Type 2 Diabetes-Clearly, an increase in the prevalence of type 2 diabetes in children has future implications for the nation’s workforce and healthcare system, as well as individual health and happiness. The good news is that through basic lifestyle modification, a child’s risk of developing type 2 diabetes and the associated health complications can be significantly decreased.</p><p>To turn the tide on this disturbing trend, a variety of recommendations are provided by the Centers for Disease Control and Prevention (2017):Replace the consumption of sugary drinks with water,Eat more fruits and vegetables,Involve children in the preparation of healthy meals,Eat meals at the table instead of in front of the television or individually in a room,Teach kids about food labels,Eat together as a family,Serve smaller portions,Facilitate 60 minutes of activity daily,Involve children in sports,It’s also recommended that parents of  talk to their pediatricians about the risks for developing type 2 diabetes, so early action can halt progression of the disease. </p>",Peter Jaret,Blogs/5.jpg
6,Bloating,"<p>Social distancing (or physical distancing) has us all experiencing many changes, including what we eat, how much we exercise and how we go about our day-to-day routines. With so much change happening at once, it’s no wonder we sometimes have symptoms we don’t normally have, and that includes bloating.Bloating is a feeling that your stomach feels uncomfortably full. Some people describe bloating as a feeling that they have a balloon in their belly. Often times, bloating will go away on its own. But if it lingers, here are some common causes I tell my patients and ways to relieve the discomfort at home.
It could be constipation,Hormones may be the culprit,Excess gas can build up,Eating more calories than usual,A more serious condition, such as irritable bowel syndrome</p> <p>1) It could be constipation-While you’re spending a lot of time at home, you may not be moving as much as you usually do. You may also be eating different foods. This can lead to constipation. You may be constipated if you experience:Fewer bowel movements than normal for you,Stool that is lumpy or looks like pebbles,Difficulty passing stool or a feeling that you still need to go after you’re finished,Fortunately, you can make a number of at-home changes to help relieve your constipation. These include:Mix up your diet,Try stool softeners or fiber supplements,Don’t forget to work out.</p><p>2) Hormones may be the culprit-Women may experience bloating, abdominal pain and cramps just before and during their period. This is normal and usually due to hormonal changes that regulate the menstrual cycle. If you’re bloating just before your period, try the following prevention methods:
Eat low-sodium foods,Drink water-Fill a water bottle and sip on it throughout the day. Drinking water actually helps you flush your system of excess salt and water that may lead to bloating during your period. Aim for 48 to 64 ounces of water per day. Avoid alcohol-Drinking alcohol affects your sleep cycle, which in turn leads to inflammation and swelling. Excess alcohol can also cause diarrhea, which contributes to bloating and abdominal pain. In the days leading up to your period, replace alcohol with decaffeinated tea or water. Exercise regularly-Even low-impact exercise like walking and yoga can help you break a sweat and release powerful feel-good chemicals. You might also consider taking a class online or try some creative ways to get your daily steps in.</p>
<p>3)Excess gas can build up-Gas is a normal part of digestion, but if it builds up in your intestines, it may cause bloating and pain. Gas happens when food that is not digested is broken down in your colon. This process produces methane and hydrogen, which you pass naturally as gas.If you do experience bloating due to gas, modifying your food intake may help. Here are some common drinks and foods that can cause bloating:Foods high in fiber or fat,
Fried and spicy dishes,Carbonated drinks, such as soda or beer,Lactose found in milk, cheese and yogurts,Over-the-counter supplements can even trigger bloating.</p><p>4) Eating more calories than usualLet’s face it. When you’re off your schedule, sometimes the most interesting thing you can do is bake. But consuming excess calories — especially those found in cookies, cakes and bread — can pack on the pounds and cause your belly to bloat. If cooking is your jam while sheltering in place, reserve high-calorie recipes for special occasions, or cut it back to one meal a week.</p><p>A more serious condition, such as irritable bowel syndromeIrritable bowel syndrome, or IBS, is a common condition that causes abdominal pain with bloating, diarrhea or constipation. The cause of IBS is unknown, but it may be brought on by certain triggers, including:Bacterial infections,Food sensitivity,Stressful events</p>",Pamela Reif,Blogs/6.jpg
7,5 Ways To Beat The Winter Blues,"<p>1. GOOD LIGHTING-One of the biggest aspects of the warmer months that I miss, is the longer hours of sunshine and light. I just love seeing sunshine pour into the windows of my apartment, and especially in the early hours of the day when I’m doing my morning routine. In the winter however, when I wake up around 6am, it is dark. Very, very DARK. It also tends to get dark very early as well when I’m still busy working and wanting to be productive.To offset this, I light up my apartment by turning on enough lights to make it feel like day time, as well as my oil diffuser which has a warm yellow light as well (I use mood boosting citrus essential oils like lemon, grapefruit, orange and bergamot – LOVE these and would highly recommend!). Having lights on instantly helps to lift my mood by seeing that it’s brighter at home.Of course in the evening when I am winding down, I turn down the lights to be softer, but during the day time this is essential! On this note, when it actually IS a sunny day outside, I love to wrap myself up real warm, and get outside for a walk!</p><p>2. WORKING OUT-One of the BIGGEST mood enhancers is definitely exercising. I rely on this even more so during the colder months as it literally gets your own warmth and internal fire reved-up. Working out releases lots of good mood boosting chemicals including endorphins, which trigger a positive feeling in the body, similar to that of morphine! When in motion, our bodies are literally producing a pharmacy of feel good chemicals, and we feel the effects of these long after the workout is finished.As some of you may know, I believe in doing some type of movement DAILY. It doesn’t have to be an hour long session at the gym (it can be, but not necessary for everyday). Getting in a 20 minutes at-home pilates or yoga session works great too (you can do a YouTube search for great classes!). Or you can always take your workout outdoors by going on a walk or a hike. The point is to get your body intentionally moving most days out of the week.Working out is also amazing for lowering stress and anxiety overall, it’s great for building self esteem and self confidence, it increases energy, improves sleep quality, lowers blood pressure, strengthens and tones your muscles and is just an incredible self-care practice.</p>
<p>3. PERSPECTIVE & GRATITUDE-I once read an article about how for the most part, children don’t judge the weather. It’s very rare you’ll hear a little child complaining that it’s raining or cold. Children tend to be more accepting and less judgmental. Having younger siblings in my family, I immediately saw how this was true.  It’s funny because the weather is like it is, and us complaining about it will not make it better. It will only make it worse, and remind ourselves how much the cold bothers us. Even though it’s difficult to be totally un-judgemental about the weather, it’s definitely something I try to practice more and more.Instead of complaining about the weather, finding little things to be grateful for can totally change your day around. For instance, something that is special this time of year, is how cozy you can make yourself feel by bundling up in warm clothes, scarfs, hats and boots. Cuddling up on the couch with a warm blanket, either alone or with a loved one, with a warm cup of tea in hand, is a feeling that is priceless. Embracing and not trying to change or control that which we cannot, is a huge life lesson that can be applied to lots of other areas in life.</p>
<p>4. A WARM JACKET-This brings me on to my next point, which is to invest in a great warm winter jacket! The puffier and cozier, the better! ?? Know that it’s going to be cold, so without only thinking about fashion, also embrace the comfort and warmth factor. There are lots of great coats and puffers these days that are both warm and stylish. I recently got this black one from Zara which I love and this beige teddy coat from Mango is also amazing! Woolrich also have really great high quality coats that will definitely keep you warm!</p>
<p>5. LISTEN TO A GUIDED MEDITATION / PODCAST-It’s so good to keep the good vibes flowing, especially when the weather is taking a toll on your mood and energy levels. I love starting my day with a few minutes of meditation. I do this after I’ve had my warm water with lemon, and been to the bathroom (watch this video here on why this is so important). I feel light and clear, and then I grab my headphones and sit down in my living room. I like to do a simple guided meditation, usually lasting 10 minutes. I focus on my breath and try to stay present in the moment. Meditation has been shown to lower anxiety and stress, boost mindfulness during the day, increase productivity and so much more… plus it’s free and can be easily incorporated a few minutes everyday.
Podcasts are also great! </p>

",Annie Jaffrey,Blogs/7.jpg
8,My Favorite Thing about Yoga,"<p>What I Love Most About Yoga -
There are so many things I love about yoga.What I fell in love with initially was the physical practice. I walked into my first ever yoga studio in Sactown when I was 15 years old and it was hook, line and sinker.I told myself I would go back every day for the rest of my life, and give or take a few days (plus a lot of days in the beginning of college, because… well, college) I have held up that agreement with myself.
That first ever day in the studio is when I became a diehard yogi. I was attracted to the mind, body, spirit element of the practice, but at that time it was mainly the physical aspect that I was hyper-focused on. I wanted to learn all of the poses and do all of the things. I wanted to have the “yoga butt,” the yoga abs, and all around tap into my strongest physical body through the practice.But even going all the way back to that FIRST CLASS — basketball shorts and all, dripping in sweat, my heart bursting open with a crazy feeling of gratitude & love during Savasana that I had never before experienced anything like it — I always knew it was about so much more than the physical.The physical element was just a vehicle for what I really experienced deep down… an inner peace that was simply indescribable until I learned more.True peace. Calm. Mind, body, spirit awareness. An awareness of a universe so far outside of myself and beyond myself. Beyond everything I was dealing with at the time, from my then-boyfriend’s recent suicide attempt (just three days before that first ever yoga class, actually) to just coming into my own as a human and trying to figure it all out. I was going through some major shit on the inside. </p>

<p>The Beauty of Savasana & Meditation-
I recently took an hour and fifteen minute vinyasa class that ended with a full fifteen minute Savasana.
FIFTEEN MINUTES of pure bliss and rest after working our muscles to the bone.
I can’t even tell you how needed and amazing that experience was for me on that particular day. With Venus in retrograde and a LOT OF STUFF happening in my life these past few weeks (like my ebook coming out!! ahhh!!) I was in serious need of some true relaxation and zen vibes.
Those fifteen minutes allowed me to sink in and dig deep in a very meditative kind of way. I nearly had an out of body experience, which never is able to happen in the usual 2-3 minute Savasanas in most vinyasa classes in Los Angeles.
It’s like I saw my life moving in slow motion and could pick out the things that were causing me stress and basically choose to eliminate them. I had control over my mind — power over the fluctuations of the mindstuff (thanks Patanjali :)).
Directly after that, I had the MOST POWERFUL experience with my girlfriends from High Vibe Livin (they will be on the podcast next week!!!) doing an angel card reading and a kundalini meditation. You can see more of that experience here in my new VLOG from last week on my YouTube channel!
Basically, we connected huge time about how much I need to open up blocked energy in my life and in my heart by continuing my spiritual practice and continuing this yoga journey so far beyond the physical. And being unafraid to do so and really big deep within.I am so looking forward to diving deeper and learning more about Kundalini in the coming months — I had a rough weekend emotionally this weekend (thanks again to all of the planets in retrograde…) and ALL I could think was that strengthening my intuition and my connection to my core via Kundalini and meditation is exactly what I needed.
To maintain that power and control over my mind.
Because when we have that power and control, we can greatly reduce our own suffering. And find inner peace.
Just like I did on that very first day of yoga in Sacramento (in my basketball shorts ;)). </p>",BalanceBlonde,Blogs/8.jpg
9,Intuitive Eating,"<p>Fad diets, chronic dieting, and restrictive ways of eating can promote an unhealthy relationship with food. Food is meant to be nourishing and enjoyable. Here at PUL, we practice what has been coined as intuitive eating: a more wholesome and sustainable approach to eating. Let's explore what intuitive eating means, its benefits, the 10 core principles, and how we can put it into practice.</p>
<p>Defining intuitive eating-Intuitive eating is an approach to eating that focuses on being in tune with our body cues related to hunger, such as hunger itself, fullness, and satisfaction. Rather than following a set of rules, intuitive eating emphasizes trusting the signs our body tells us related to what we eat when we eat, and how much we eat. Being aware of and trusting our intuition makes up a big part of intuitive eating. </p>

<p>Why intuitive eating-It's hard to avoid diet culture, especially from the media. This can set us up for negative emotions surrounding our body image and the foods we eat. In the long term, restrictive dieting doesn't lead to sustainable weight loss and if anything, can lead to more weight gain. On the other hand, an approach that appreciates health at every size has been found to have both psychological and physical benefits.</p>
 
<p>Here are some examples:
Intuitive eating has been associated with greater emotional functioning and decreased disordered eating,
We can increase our awareness of what we're eating and why by practicing intuitive eating. This allows us to become more mindful when it comes to our meals,
Intuitive eating provides a way to reduce dieting patterns and enable more sustainable, long-term behaviours,
Engaging in intuitive eating has been correlated with an increased motivation to engage in exercise, especially for pleasure purposes,
The more appreciation we have for our bodies, the more happiness we tend to experience. In intuitive eaters, higher levels of body appreciation and lower levels of body image concerns have been found,
Overall, the most sustainable approach to healthy eating is eating in a way that's enjoyable rather than restrictive. Intuitive eating provides an approach that's flexible and is able to be adopted by everyone</p>",PickUp Limes,Blogs/9.jpg
10,Controlling BloodPressure in Winters,"<p>As the temperature dips in winters, it brings with it a whole host of great things – stylish winter wear, great food, but, it also brings some troubles – dry skin, chapped lips, high blood pressure. Wait, you didn’t know that your blood pressure spikes in the winters? Don’t hit the panic button yet, we’ll tell you why your blood pressure spikes and we will also talk about 7 easy tips to keep blood pressure under control in winters.
The reason why blood pressure increases in winters is because our blood vessels and arteries narrow down and the body struggles to push the blood through them. This results in increased blood pressure which is associated with health complications like heart diseases and kidney diseases. If you or your loved ones suffer from blood pressure, you’ve got to be extra careful during these months. So, the tips discussed below might help you:</p>

 

<p>Workout during winters -
We understand that it’s a pain to work out in the freezing weather and it doesn’t help that your blanket is so cozy and warm. However, to keep the heart-healthy, it is important to exercise. It is not necessary for you to engage in exercises that demand a lot of effort. A simple morning walk or light cardiovascular exercises will also do the job. If you have the luxury of time, you can avoid the cold and work out a little late when it is a bit warmer. This will also help in preventing extra stress on the heart.</p>

 

<p>Avoid breathing in cold air-
Our lungs work best when they get a certain level of warm and wet air. Inhaling cold and dry air irritates them and they react to it by causing pain. Thus, you need to be careful while going out when it’s cold. If you really have to go out then cover your nose and mouth well with a scarf. That will help in warming the air a little. If you are habitual of working out in the morning and are continuing to do so then warm up before indulging in heavy exercises. This will prepare your lungs to deal with incoming cold air.</p>

 

<p>Dress in layers-
Layering is a great idea – both for your style and health (added benefit of hiding that bulge!). For your outer layer, choose a high-quality jacket that will block the air and moisture. Wear a sweater or sweatshirt as the middle layer. They will act as an insulator and will keep you warm. Choose your base or inner layer a little carefully. Cottons are great for summers but their moisture-absorbing quality isn’t good for winters. Go for materials like polyester which will keep the moisture away from your skin. Good quality gloves, scarves and shoes will also help.</p>

 

<p>Nutrient rich food -
Avoid foods with heavy calories.
Eating right during winter is the key to beat the cold and maintain normal blood pressure. Don’t load up on calories that are beyond what your body needs on a daily basis. The extra calories you’ll consume will end up getting accumulated in your body in the form of fat which takes extra effort to burn. Also, make sure that your diet has ample amount of fruits and vegetables.</p>

 

<p>Take special care of elderly
Elderly people are more at risk of high blood pressure and cardiac conditions during winter. Special care should be taken of them. Make sure they are wearing enough warm clothes, eating well and are not putting any kind of pressure on their heart. If you notice any changes in their health then without any delay get their health checkup done. The health checkups will also help in understanding their overall health better as both elder men and women can have different health concerns.</p>

 

<p>Keep medications handy-
If you already have any kind of lung disease, heart disease or suffer from high blood pressure frequently, then keep all the medications handy in this weather. A point to note here is that always make sure your medications are prescribed by your doctor. Do not consume any medicine that you ‘think’ would help.</p>

 

<p>Get regular health checkups-
The simplest way to avoid any medical emergency is to regularly get health checkups done, especially during winters. These checkups will alert you in advance of developing any disease or any kind of deficiency that could cause trouble in the near future. That way you’ll have enough time to act and be safe.</p>

 
",Preksha Buttan,Blogs/10.jpg
